,aX,aY,aZ,gX,gY,gZ
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,-35.05,-51.33,-15.91,0,0,0
4,-35.05,-51.33,-15.91,8.41,-13.52,-0.05
5,-35.05,-51.33,-15.91,8.41,-13.52,-0.05
6,-35.05,-51.33,-15.91,8.41,-13.52,-0.05
7,-32.35,-71.23,-25.83,22.97,-13.52,-0.05
8,-32.35,-71.23,-25.83,22.97,23.4,-35.56
9,-32.35,-71.23,-25.83,22.97,23.4,-35.56
10,-32.35,-71.23,-25.83,22.97,23.4,-35.56
11,-7.01,-26.97,-4.59,22.97,23.4,-35.56
12,-7.01,-26.97,-4.59,9.98,79.25,-35.56
13,-7.01,-26.97,-4.59,9.98,79.25,-57.02
14,-7.01,-26.97,-4.59,9.98,79.25,-57.02
15,-1.51,9,-4.59,9.98,79.25,-57.02
16,-1.51,9,49.41,21.66,59.99,-57.02
17,-1.51,9,49.41,21.66,59.99,-1.59
18,-1.51,9,49.41,21.66,59.99,-1.59
19,-1.51,9,49.41,21.66,59.99,-1.59
20,-12.09,4.06,68.22,11.43,59.99,-1.59
21,-12.09,4.06,68.22,11.43,19.77,58.12
22,-12.09,4.06,68.22,11.43,19.77,58.12
23,-12.09,4.06,68.22,11.43,19.77,58.12
24,-17.07,-26.37,53.41,-6.43,19.77,58.12
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,-39.17,-32.31,2.2,-0.58,0,0
29,-39.17,-32.31,2.2,-0.58,-6.06,9.34
30,-39.17,-32.31,2.2,-0.58,-6.06,9.34
31,-39.17,-32.31,2.2,-0.58,-6.06,9.34
32,-40.98,-45.18,-18.59,-0.58,-6.06,9.34
33,-40.98,-45.18,-18.59,15.37,-9.94,-9.7
34,-40.98,-45.18,-18.59,15.37,-9.94,-9.7
35,-40.98,-45.18,-18.59,15.37,-9.94,-9.7
36,-32.17,-55.05,-18.59,15.37,-9.94,-9.7
37,-32.17,-55.05,-27.03,8.7,35.96,-9.7
38,-32.17,-55.05,-27.03,8.7,35.96,-56.04
39,-32.17,-55.05,-27.03,8.7,35.96,-56.04
40,-15.3,9.56,-27.03,8.7,35.96,-56.04
41,-15.3,9.56,4.08,-5.29,35.96,-56.04
42,-15.3,9.56,4.08,-5.29,65.48,-55.27
43,-15.3,9.56,4.08,-5.29,65.48,-55.27
44,-15.3,9.56,4.08,-5.29,65.48,-55.27
45,-13.1,33.67,4.08,-5.29,65.48,-55.27
46,-13.1,33.67,24.16,-3.26,57.94,0.62
47,-13.1,33.67,24.16,-3.26,57.94,0.62
48,-13.1,33.67,24.16,-3.26,57.94,0.62
49,-14.26,37.72,24.16,-3.26,57.94,0.62
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,-38.11,0,0,0,0,0
53,-38.11,-30.36,-3.84,-11.84,0,0
54,-38.11,-30.36,-3.84,-11.84,-2.26,16.53
55,-38.11,-30.36,-3.84,-11.84,-2.26,16.53
56,-38.14,-30.36,-3.84,-11.84,-2.26,16.53
57,-38.14,-34.44,-8.12,-5.3,-2.26,16.53
58,-38.14,-34.44,-8.12,-5.3,-8.14,11.31
59,-38.14,-34.44,-8.12,-5.3,-8.14,11.31
60,-38.14,-34.44,-8.12,-5.3,-8.14,11.31
61,-28.63,-66.97,-34.52,-2.46,-8.14,11.31
62,-28.63,-66.97,-34.52,-2.46,16.87,-38.79
63,-28.63,-66.97,-34.52,-2.46,16.87,-38.79
64,-28.63,-66.97,-34.52,-2.46,16.87,-38.79
65,-7.29,-15.35,-12.66,-2.46,16.87,-38.79
66,-7.29,-15.35,-12.66,1.14,70.44,-64.77
67,-7.29,-15.35,-12.66,1.14,70.44,-64.77
68,-7.29,-15.35,-12.66,1.14,70.44,-64.77
69,-13.81,18.96,-12.66,1.14,70.44,-64.77
70,-13.81,18.96,26.69,-10.41,67.64,-64.77
71,-13.81,18.96,26.69,-10.41,67.64,-10.72
72,-13.81,18.96,26.69,-10.41,67.64,-10.72
73,-14.22,18.96,26.69,-10.41,67.64,-10.72
74,-14.22,18.18,59.68,10.42,39.65,-10.72
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,-24.93,0,0,0,0,0
78,-24.93,-56.42,-14.99,0,0,0
79,-24.93,-56.42,-14.99,-2.38,19.55,-50.8
80,-24.93,-56.42,-14.99,-2.38,19.55,-50.8
81,-24.93,-56.42,-14.99,-2.38,19.55,-50.8
82,-19.92,-11.72,-6.75,-21.94,19.55,-50.8
83,-19.92,-11.72,-6.75,-21.94,32.49,-74.57
84,-19.92,-11.72,-6.75,-21.94,32.49,-74.57
85,-13.69,-11.72,-6.75,-21.94,32.49,-74.57
86,-13.69,31.24,10.03,-25.01,32.49,-74.57
87,-13.69,31.24,10.03,-25.01,49.06,-58.78
88,-13.69,31.24,10.03,-25.01,49.06,-58.78
89,-13.69,31.24,10.03,-25.01,49.06,-58.78
90,-9.01,79.63,31.75,-25.01,49.06,-58.78
91,-9.01,79.63,31.75,-12.7,53.4,19.62
92,-9.01,79.63,31.75,-12.7,53.4,19.62
93,-9.01,79.63,31.75,-12.7,53.4,19.62
94,-16.73,79.63,31.75,-12.7,53.4,19.62
95,-16.73,30.93,60.13,4.36,53.4,19.62
96,-16.73,30.93,60.13,4.36,34.96,86.56
97,-16.73,30.93,60.13,4.36,34.96,86.56
98,-13.97,30.93,60.13,4.36,34.96,86.56
99,-13.97,-19.08,68.44,19.84,13.54,86.56
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,-37.92,-41.4,3.47,-1.05,0,0
104,-37.92,-41.4,3.47,-1.05,0.69,-7.15
105,-37.92,-41.4,3.47,-1.05,0.69,-7.15
106,-37.92,-41.4,3.47,-1.05,0.69,-7.15
