,aX,aY,aZ,gX,gY,gZ
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,-26.15,0,0,0,0,0
3,-26.15,-18.33,-11.36,27.23,20.58,0
4,-26.15,-18.33,-11.36,27.23,20.58,25.09
5,-26.15,-18.33,-11.36,27.23,20.58,25.09
6,-25.05,-35.46,-11.36,27.23,20.58,25.09
7,-25.05,-35.46,6.87,10.57,4.52,36.48
8,-25.05,-35.46,6.87,10.57,4.52,36.48
9,-25.05,-35.46,6.87,10.57,4.52,36.48
10,9.56,-61.23,6.87,10.57,4.52,36.48
11,9.56,-61.23,-18.3,16.42,-1.09,36.48
12,9.56,-61.23,-18.3,16.42,-1.09,90.92
13,9.56,-61.23,-18.3,16.42,-1.09,90.92
14,16.6,-99.99,-18.3,16.42,-1.09,90.92
15,16.6,-99.99,-38.13,-27.55,43.12,90.92
16,16.6,-99.99,-38.13,-27.55,43.12,-63.57
17,16.6,-99.99,-38.13,-27.55,43.12,-63.57
18,16.6,-99.99,-38.13,-27.55,43.12,-63.57
19,16.77,29.8,65.54,-27.55,43.12,-63.57
20,16.77,29.8,65.54,10.87,91.64,-24.07
21,16.77,29.8,65.54,10.87,91.64,-24.07
22,16.77,29.8,65.54,10.87,91.64,-24.07
23,4.11,-19.87,59.85,-22.76,91.64,-24.07
24,4.11,-19.87,59.85,-22.76,-36.91,81.6
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,-25.31,0,0,0,0,0
28,-25.31,-28.67,-14.62,0,0,0
29,-25.31,-28.67,-14.62,-4.85,8.71,12.29
30,-25.31,-28.67,-14.62,-4.85,8.71,12.29
31,-25.31,-28.67,-14.62,-4.85,8.71,12.29
32,-25.19,-39.67,-14.62,-4.85,8.71,12.29
33,-25.19,-39.67,-14.21,-5.13,8.09,12.29
34,-25.19,-39.67,-14.21,-5.13,8.09,7.01
35,-25.19,-39.67,-14.21,-5.13,8.09,7.01
36,-7.71,1.72,11.45,-5.13,8.09,7.01
37,-7.71,1.72,11.45,10.45,4.88,98
38,-7.71,1.72,11.45,10.45,4.88,98
39,-7.71,1.72,11.45,10.45,4.88,98
40,15.12,1.72,11.45,10.45,4.88,98
41,15.12,-99.99,-62.54,-9.45,-9.85,98
42,15.12,-99.99,-62.54,-9.45,-9.85,22.92
43,15.12,-99.99,-62.54,-9.45,-9.85,22.92
44,16.45,-99.99,-62.54,-9.45,-9.85,22.92
45,16.45,-46.55,-39.79,-9.45,-9.85,22.92
46,16.45,-46.55,-39.79,-10.89,54.1,-53.55
47,16.45,-46.55,-39.79,-10.89,54.1,-53.55
48,16.45,-46.55,-39.79,-10.89,54.1,-53.55
49,6.77,1.79,-39.79,-10.89,54.1,-53.55
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,-30.85,0,0,0,0,0
53,-30.85,-17.21,0.74,-3.37,0.06,0
54,-30.85,-17.21,0.74,-3.37,0.06,12.21
55,-30.85,-17.21,0.74,-3.37,0.06,12.21
56,-26.69,-17.21,0.74,-3.37,0.06,12.21
57,-26.69,-20.43,-0.29,-3.37,0.06,12.21
58,-26.69,-20.43,-0.29,-5.21,-2.7,36.66
59,-26.69,-20.43,-0.29,-5.21,-2.7,36.66
60,-26.69,-20.43,-0.29,-5.21,-2.7,36.66
61,-22.43,-20.43,-0.29,-5.21,-2.7,36.66
62,-22.43,-33.97,-2.86,-4.42,-10.13,36.66
63,-22.43,-33.97,-2.86,-4.42,-10.13,73.37
64,-22.43,-33.97,-2.86,-4.42,-10.13,73.37
65,-10.33,-99.99,-2.86,-4.42,-10.13,73.37
66,-10.33,-99.99,-69.54,-11.47,34.13,-3.56
67,-10.33,-99.99,-69.54,-11.47,34.13,-3.56
68,-10.33,-99.99,-69.54,-11.47,34.13,-3.56
69,18.84,-99.99,-69.54,-11.47,34.13,-3.56
70,18.84,-20.41,25.73,18.07,99.97,-3.56
71,18.84,-20.41,25.73,18.07,99.97,-2.25
72,18.84,-20.41,25.73,18.07,99.97,-2.25
73,-4.86,-20.41,25.73,18.07,99.97,-2.25
74,-4.86,-28.96,95.5,18.07,99.97,-2.25
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,-36.33,0,0,0,0,0
78,-36.33,-33.61,-4.14,0.17,0.13,0
79,-36.33,-33.61,-4.14,0.17,0.13,-2.44
80,-36.33,-33.61,-4.14,0.17,0.13,-2.44
81,-36,-33.61,-4.14,0.17,0.13,-2.44
82,-36,-31.15,-5.15,0.29,0.13,-2.44
83,-36,-31.15,-5.15,0.29,1.4,-3.74
84,-36,-31.15,-5.15,0.29,1.4,-3.74
85,-36,-31.15,-5.15,0.29,1.4,-3.74
86,-8.93,16.45,7.19,3.26,1.4,-3.74
87,-8.93,16.45,7.19,3.26,6.08,40.2
88,-8.93,16.45,7.19,3.26,6.08,40.2
89,-8.93,16.45,7.19,3.26,6.08,40.2
90,5.38,-99.99,7.19,3.26,6.08,40.2
91,5.38,-99.99,-63.45,-14.32,5.8,63.04
92,5.38,-99.99,-63.45,-14.32,5.8,63.04
93,5.38,-99.99,-63.45,-14.32,5.8,63.04
94,3.58,-99.99,-63.45,-14.32,5.8,63.04
95,3.58,-27.08,-12.55,-23.6,76.68,63.04
96,3.58,-27.08,-12.55,-23.6,76.68,-53.83
97,3.58,-27.08,-12.55,-23.6,76.68,-53.83
98,3.58,-27.08,-12.55,-23.6,76.68,-53.83
99,-1.59,14.03,56.34,-23.6,76.68,-53.83
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,-22.97,0,0,0,0,0
103,-22.97,-10.98,-1.69,0,0,0
104,-22.97,-10.98,-1.69,17.6,5.91,37.02
105,-22.97,-10.98,-1.69,17.6,5.91,37.02
106,-15.24,-10.98,-1.69,17.6,5.91,37.02
107,-15.24,-21.12,-1.69,17.6,5.91,37.02
